,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
31,Basler_acA2500-14um__23891378__20221217_130409377_0051.tiff,553,333.5,385.0,424.0,455.0,480.0,500.5,517.0,530.0,540.0,547.0,551.0,286.0,310.0,348.5,364.5
32,Basler_acA2500-14um__23891378__20221217_130409377_0052.tiff,552,332.0,383.5,423.0,453.5,479.0,499.0,516.0,529.0,539.0,546.0,550.0,284.0,308.5,347.0,363.5
33,Basler_acA2500-14um__23891378__20221217_130409377_0053.tiff,551,330.5,381.5,421.5,452.0,477.5,498.0,514.5,528.0,537.5,545.0,549.0,282.0,306.0,345.5,361.5
34,Basler_acA2500-14um__23891378__20221217_130409377_0054.tiff,550,328.5,380.0,420.0,451.0,476.0,497.0,513.0,527.0,536.0,544.0,548.0,279.5,304.0,343.5,360.0
35,Basler_acA2500-14um__23891378__20221217_130409377_0055.tiff,549,326.5,378.5,418.5,450.0,475.0,495.5,512.0,525.0,535.0,542.5,547.0,277.0,302.0,341.5,358.5
36,Basler_acA2500-14um__23891378__20221217_130409377_0056.tiff,548,324.5,377.5,417.0,448.0,473.5,494.5,511.0,524.0,534.0,541.0,546.0,274.5,300.0,339.5,356.5
37,Basler_acA2500-14um__23891378__20221217_130409377_0057.tiff,547,323.0,375.5,415.5,447.0,472.5,493.5,510.0,523.0,533.0,540.5,545.0,272.0,297.5,338.0,355.0
38,Basler_acA2500-14um__23891378__20221217_130409377_0058.tiff,546,321.0,374.0,414.5,445.5,471.5,492.0,509.0,522.0,532.0,539.5,544.0,270.0,295.5,336.0,353.0
39,Basler_acA2500-14um__23891378__20221217_130409377_0059.tiff,545,319.0,372.5,413.0,444.5,470.5,491.5,508.0,521.0,531.0,538.5,543.0,267.5,293.5,335.0,352.0
40,Basler_acA2500-14um__23891378__20221217_130409377_0060.tiff,544,317.0,371.0,411.5,443.5,469.5,490.0,507.0,520.5,530.5,537.5,542.0,264.5,291.0,332.5,350.0
41,Basler_acA2500-14um__23891378__20221217_130409377_0061.tiff,543,315.5,369.5,410.5,442.5,468.5,489.0,506.0,519.5,529.0,536.5,541.0,262.0,289.0,331.0,348.5
