,file,reference_row,dl_width,dl_height_abs,dl_midpoint_height
0,Basler_acA2500-14um__23891378__20220704_170832835_0018.tiff,680,1159,596,596
1,Basler_acA2500-14um__23891378__20220704_170832835_0023.tiff,680,1158,586,585
2,Basler_acA2500-14um__23891378__20220704_170832835_0028.tiff,680,1156,576,575
3,Basler_acA2500-14um__23891378__20220704_170832835_0033.tiff,680,1154,566,566
4,Basler_acA2500-14um__23891378__20220704_170832835_0038.tiff,680,1154,556,556
5,Basler_acA2500-14um__23891378__20220704_170832835_0043.tiff,680,1153,548,548
6,Basler_acA2500-14um__23891378__20220704_170832835_0048.tiff,680,1153,539,539
7,Basler_acA2500-14um__23891378__20220704_170832835_0053.tiff,680,1153,531,531
8,Basler_acA2500-14um__23891378__20220704_170832835_0058.tiff,680,1152,521,521
9,Basler_acA2500-14um__23891378__20220704_170832835_0063.tiff,680,1152,513,513
10,Basler_acA2500-14um__23891378__20220704_170832835_0068.tiff,680,1152,506,506
11,Basler_acA2500-14um__23891378__20220704_170832835_0073.tiff,680,1151,496,496
12,Basler_acA2500-14um__23891378__20220704_170832835_0078.tiff,680,1151,487,487
13,Basler_acA2500-14um__23891378__20220704_170832835_0083.tiff,680,1151,479,479
14,Basler_acA2500-14um__23891378__20220704_170832835_0088.tiff,680,1151,472,472
15,Basler_acA2500-14um__23891378__20220704_170832835_0093.tiff,680,1151,463,463
16,Basler_acA2500-14um__23891378__20220704_170832835_0098.tiff,680,1151,454,454
17,Basler_acA2500-14um__23891378__20220704_170832835_0103.tiff,680,1151,443,443
18,Basler_acA2500-14um__23891378__20220704_170832835_0108.tiff,680,1151,429,429
19,Basler_acA2500-14um__23891378__20220704_170832835_0113.tiff,680,1151,420,419
20,Basler_acA2500-14um__23891378__20220704_170832835_0118.tiff,680,1150,408,408
21,Basler_acA2500-14um__23891378__20220704_170832835_0123.tiff,680,1151,394,394
22,Basler_acA2500-14um__23891378__20220704_170832835_0128.tiff,680,1150,378,378
23,Basler_acA2500-14um__23891378__20220704_170832835_0133.tiff,680,1150,362,360
24,Basler_acA2500-14um__23891378__20220704_170832835_0138.tiff,680,1150,332,332
25,Basler_acA2500-14um__23891378__20220704_170832835_0143.tiff,680,1150,304,298
26,Basler_acA2500-14um__23891378__20220704_170832835_0148.tiff,680,1150,287,282
27,Basler_acA2500-14um__23891378__20220704_170832835_0153.tiff,680,1150,273,267
28,Basler_acA2500-14um__23891378__20220704_170832835_0158.tiff,680,1150,261,257
29,Basler_acA2500-14um__23891378__20220704_170832835_0163.tiff,680,1150,251,248
30,Basler_acA2500-14um__23891378__20220704_170832835_0168.tiff,680,1150,242,240
31,Basler_acA2500-14um__23891378__20220704_170832835_0173.tiff,680,1150,234,234
32,Basler_acA2500-14um__23891378__20220704_170832835_0178.tiff,680,1150,229,228
33,Basler_acA2500-14um__23891378__20220704_170832835_0183.tiff,680,1150,224,223
34,Basler_acA2500-14um__23891378__20220704_170832835_0188.tiff,680,1150,218,218
35,Basler_acA2500-14um__23891378__20220704_170832835_0193.tiff,680,1150,214,213
36,Basler_acA2500-14um__23891378__20220704_170832835_0198.tiff,680,1150,210,208
37,Basler_acA2500-14um__23891378__20220704_170832835_0203.tiff,680,1150,207,204
38,Basler_acA2500-14um__23891378__20220704_170832835_0208.tiff,680,1150,203,200
39,Basler_acA2500-14um__23891378__20220704_170832835_0213.tiff,680,1150,200,196
40,Basler_acA2500-14um__23891378__20220704_170832835_0218.tiff,680,1150,196,192
41,Basler_acA2500-14um__23891378__20220704_170832835_0223.tiff,680,1150,194,189
42,Basler_acA2500-14um__23891378__20220704_170832835_0228.tiff,680,1150,191,185
43,Basler_acA2500-14um__23891378__20220704_170832835_0233.tiff,680,1150,189,182
44,Basler_acA2500-14um__23891378__20220704_170832835_0238.tiff,680,1150,186,179
45,Basler_acA2500-14um__23891378__20220704_170832835_0243.tiff,680,1150,184,175
46,Basler_acA2500-14um__23891378__20220704_170832835_0248.tiff,680,1150,180,171
47,Basler_acA2500-14um__23891378__20220704_170832835_0253.tiff,680,1150,177,168
48,Basler_acA2500-14um__23891378__20220704_170832835_0258.tiff,680,1150,177,168
49,Basler_acA2500-14um__23891378__20220704_170832835_0263.tiff,680,1150,172,163
