,file,dl_height_midpoint,11l_to_11r,10l_to_10r,9l_to_9r,8l_to_8r,7l_to_7r,6l_to_6r,5l_to_5r,4l_to_4r,3l_to_3r,2l_to_2r,1l_to_1r,edge_4_r_to_edge_4_l,edge_3_r_to_edge_3_l,edge_2_r_to_edge_2_l,edge_1_r_to_edge_1_l
581,Basler_acA2500-14um__23891378__20221217_115541543_0595.tiff,179,49.5,81.0,130.0,170.0,176.5,173.0,171.0,172.0,174.5,177.5,178.5,12.0,30.0,59.0,69.0
582,Basler_acA2500-14um__23891378__20221217_115541543_0596.tiff,178,49.5,81.0,130.0,170.0,176.5,173.0,171.0,171.5,174.5,177.5,178.0,11.5,27.5,59.0,68.5
583,Basler_acA2500-14um__23891378__20221217_115541543_0597.tiff,177,50.0,81.0,129.5,170.0,176.5,173.0,171.0,171.5,174.5,177.5,178.5,11.5,27.5,59.0,69.0
584,Basler_acA2500-14um__23891378__20221217_115541543_0598.tiff,178,49.0,81.0,130.0,170.0,176.5,173.0,171.0,171.5,174.5,177.0,178.0,11.5,27.0,58.5,68.5
585,Basler_acA2500-14um__23891378__20221217_115541543_0599.tiff,178,49.0,81.0,129.5,170.0,176.5,173.0,171.0,171.0,174.0,177.5,178.0,11.5,28.0,58.5,68.5
586,Basler_acA2500-14um__23891378__20221217_115541543_0600.tiff,178,49.5,81.0,129.5,170.0,176.0,172.5,171.0,171.0,174.0,177.5,178.0,12.5,27.0,58.5,68.5
587,Basler_acA2500-14um__23891378__20221217_115541543_0601.tiff,178,49.5,80.5,129.5,170.0,176.0,172.5,170.5,171.0,174.5,177.5,178.0,11.5,27.5,59.0,68.5
588,Basler_acA2500-14um__23891378__20221217_115541543_0602.tiff,178,49.5,80.5,129.5,170.0,176.0,172.5,170.5,171.0,174.0,177.0,178.0,11.5,27.5,58.5,68.5
589,Basler_acA2500-14um__23891378__20221217_115541543_0603.tiff,178,49.0,80.5,129.5,170.0,176.0,173.0,170.5,171.0,174.0,177.5,178.0,12.0,27.5,58.5,68.5
590,Basler_acA2500-14um__23891378__20221217_115541543_0604.tiff,178,49.0,80.0,129.0,170.0,176.0,172.5,170.5,171.0,174.0,176.5,178.0,12.0,27.0,58.5,68.5
591,Basler_acA2500-14um__23891378__20221217_115541543_0605.tiff,178,49.0,80.5,129.5,170.0,176.0,172.5,170.5,171.0,174.0,177.0,177.5,12.0,27.5,58.5,68.5
592,Basler_acA2500-14um__23891378__20221217_115541543_0606.tiff,178,49.0,80.5,129.0,170.0,176.0,172.5,170.5,171.0,174.0,176.5,178.0,12.0,27.0,58.5,68.5
593,Basler_acA2500-14um__23891378__20221217_115541543_0607.tiff,178,49.0,80.5,129.5,170.0,176.0,172.5,170.5,171.0,174.0,177.0,177.5,12.0,27.0,58.5,68.5
594,Basler_acA2500-14um__23891378__20221217_115541543_0608.tiff,177,49.0,80.0,129.0,169.5,176.0,172.5,170.5,171.0,173.5,176.5,177.5,12.0,27.0,58.5,68.5
595,Basler_acA2500-14um__23891378__20221217_115541543_0609.tiff,177,49.0,80.5,129.0,170.0,176.0,172.0,170.0,170.5,173.5,177.0,177.5,11.5,27.0,58.5,68.5
596,Basler_acA2500-14um__23891378__20221217_115541543_0610.tiff,178,49.0,80.5,129.5,170.0,175.5,172.5,170.0,171.0,173.5,176.5,177.5,11.5,27.0,58.5,68.5
597,Basler_acA2500-14um__23891378__20221217_115541543_0611.tiff,177,49.0,80.5,129.5,169.5,176.0,172.0,170.0,171.0,174.0,176.5,177.5,11.5,27.0,58.5,68.5
598,Basler_acA2500-14um__23891378__20221217_115541543_0612.tiff,177,49.0,80.5,129.0,169.5,176.0,172.0,170.0,171.0,173.5,176.5,177.5,11.5,27.0,58.5,68.5
599,Basler_acA2500-14um__23891378__20221217_115541543_0613.tiff,177,49.0,80.5,129.0,170.0,175.5,172.5,170.0,170.5,173.5,176.5,177.5,12.0,27.0,58.5,68.0
600,Basler_acA2500-14um__23891378__20221217_115541543_0614.tiff,178,49.0,80.0,129.5,169.5,175.5,172.0,170.0,171.0,173.5,176.5,177.5,11.5,27.0,58.5,68.0
601,Basler_acA2500-14um__23891378__20221217_115541543_0615.tiff,177,49.0,80.0,128.5,169.0,175.5,172.0,170.0,171.0,173.5,176.5,177.5,11.5,27.0,58.5,68.0
602,Basler_acA2500-14um__23891378__20221217_115541543_0616.tiff,177,49.0,80.0,128.5,169.0,175.5,172.0,170.0,170.0,173.5,176.5,177.5,12.0,27.0,58.5,68.5
603,Basler_acA2500-14um__23891378__20221217_115541543_0617.tiff,177,49.0,80.0,128.5,169.0,175.5,172.0,170.0,170.0,173.5,176.5,177.0,12.0,27.0,58.5,68.0
604,Basler_acA2500-14um__23891378__20221217_115541543_0618.tiff,177,49.0,79.5,128.5,169.0,175.5,172.0,170.0,170.0,173.5,176.5,177.0,12.0,27.0,58.5,68.5
605,Basler_acA2500-14um__23891378__20221217_115541543_0619.tiff,177,49.0,80.0,128.5,169.0,175.5,172.0,170.0,170.0,173.5,176.5,177.0,12.0,26.5,58.5,67.5
606,Basler_acA2500-14um__23891378__20221217_115541543_0620.tiff,177,49.0,80.0,128.5,169.0,175.5,171.5,170.0,170.0,173.5,176.5,177.0,12.0,26.5,58.5,67.5
607,Basler_acA2500-14um__23891378__20221217_115541543_0621.tiff,177,49.0,79.5,128.5,169.0,175.5,172.0,170.0,170.0,173.5,176.5,177.0,12.0,27.0,58.0,68.0
608,Basler_acA2500-14um__23891378__20221217_115541543_0622.tiff,177,48.5,80.0,128.5,169.0,175.5,171.5,169.5,170.0,173.0,176.5,177.0,11.5,26.5,58.0,68.0
609,Basler_acA2500-14um__23891378__20221217_115541543_0623.tiff,177,48.5,80.0,128.5,169.0,175.0,171.5,169.5,170.0,173.0,176.0,177.0,12.0,27.0,58.5,68.0
610,Basler_acA2500-14um__23891378__20221217_115541543_0624.tiff,177,49.0,80.0,128.5,169.0,175.0,171.5,169.5,170.0,173.0,176.5,176.5,12.0,26.5,58.0,67.5
611,Basler_acA2500-14um__23891378__20221217_115541543_0625.tiff,177,49.0,80.0,128.5,169.0,175.0,171.5,169.5,170.0,173.0,175.5,176.5,12.0,27.0,58.0,68.0
612,Basler_acA2500-14um__23891378__20221217_115541543_0626.tiff,177,48.5,79.5,128.0,169.0,175.0,171.5,169.5,170.0,173.0,176.0,176.5,12.0,27.0,58.0,68.0
613,Basler_acA2500-14um__23891378__20221217_115541543_0627.tiff,177,48.5,79.5,128.0,169.0,175.0,171.5,169.5,170.0,173.0,176.0,177.0,12.0,27.0,58.0,68.0
614,Basler_acA2500-14um__23891378__20221217_115541543_0628.tiff,177,48.5,79.0,127.5,169.0,175.0,171.5,169.5,170.0,172.5,175.5,176.5,12.0,26.5,58.0,67.5
615,Basler_acA2500-14um__23891378__20221217_115541543_0629.tiff,177,49.0,79.5,128.0,169.0,175.0,171.5,169.5,170.0,173.0,175.5,176.5,11.5,26.5,58.0,67.5
616,Basler_acA2500-14um__23891378__20221217_115541543_0630.tiff,176,48.5,79.5,128.0,169.0,175.0,171.5,169.0,170.0,173.0,175.5,177.0,11.5,26.5,58.0,67.5
617,Basler_acA2500-14um__23891378__20221217_115541543_0631.tiff,176,48.5,79.5,127.5,169.0,174.5,171.5,169.0,169.5,173.0,176.0,176.5,12.0,26.0,58.0,67.5
618,Basler_acA2500-14um__23891378__20221217_115541543_0632.tiff,176,48.5,79.0,128.0,168.5,175.0,171.5,169.0,170.0,173.0,175.5,176.5,12.0,27.0,58.0,67.5
619,Basler_acA2500-14um__23891378__20221217_115541543_0633.tiff,176,48.5,79.0,127.5,168.5,175.0,171.5,169.0,170.0,172.5,175.5,176.5,12.0,26.5,58.0,67.5
620,Basler_acA2500-14um__23891378__20221217_115541543_0634.tiff,176,48.5,79.0,127.5,169.0,174.5,171.0,169.0,169.5,172.5,175.5,176.5,11.5,27.0,58.0,68.0
