,file,reflection_row,dl_reflection_width,dl_height_midpoint,11l,11r,10l,10r,9l,9r,8l,8r,7l,7r,6l,6r,5l,5r,4l,4r,3l,3r,2l,2r,1l,1r,edge_4_r,edge_4_l,edge_3_r,edge_3_l,edge_2_r,edge_2_l,edge_1_r,edge_1_l
30,Basler_acA2500-14um__23891378__20221129_144902408_0043.tiff,1544,760,157,29,28,52,51,71,70,88,86,103,102,118,115,130,128,139,138,147,146,152,151,156,155,12,10,20,18,36,35,44,42
31,Basler_acA2500-14um__23891378__20221129_144902408_0044.tiff,1544,760,153,29,27,51,50,70,68,86,85,101,99,114,112,126,124,135,134,143,141,148,147,152,151,11,9,20,18,36,34,43,42
32,Basler_acA2500-14um__23891378__20221129_144902408_0045.tiff,1544,760,149,29,27,51,49,69,67,84,82,98,96,111,108,123,120,132,130,139,137,144,143,147,147,11,9,20,18,36,34,43,41
33,Basler_acA2500-14um__23891378__20221129_144902408_0046.tiff,1544,760,143,29,27,50,49,68,67,83,81,96,94,108,106,118,116,127,125,134,132,139,137,142,141,11,9,19,18,35,34,42,41
34,Basler_acA2500-14um__23891378__20221129_144902408_0047.tiff,1544,760,138,28,27,50,49,67,66,82,80,94,92,105,103,115,112,123,121,129,128,134,133,137,136,11,9,19,18,35,34,42,41
35,Basler_acA2500-14um__23891378__20221129_144902408_0048.tiff,1544,760,131,28,27,49,48,67,66,81,79,92,90,102,100,110,109,117,116,123,122,128,127,130,130,11,9,19,17,34,34,42,41
36,Basler_acA2500-14um__23891378__20221129_144902408_0049.tiff,1544,761,125,28,27,49,49,66,65,80,79,91,89,99,97,106,105,112,111,117,117,121,121,124,123,11,9,19,17,34,33,41,41
37,Basler_acA2500-14um__23891378__20221129_144902408_0050.tiff,1544,760,117,28,27,49,48,66,65,79,78,90,88,97,95,103,101,108,106,111,110,114,113,116,116,11,9,19,17,34,33,41,41
38,Basler_acA2500-14um__23891378__20221129_144902408_0051.tiff,1544,760,110,27,26,49,48,66,65,78,78,88,86,95,93,100,97,103,101,105,104,108,107,109,108,11,9,19,17,34,33,41,40
39,Basler_acA2500-14um__23891378__20221129_144902408_0052.tiff,1544,760,103,27,26,48,48,65,65,78,77,87,86,93,91,97,95,99,97,100,99,102,100,103,101,10,9,18,17,34,33,41,40
40,Basler_acA2500-14um__23891378__20221129_144902408_0053.tiff,1544,761,95,27,26,48,48,65,65,77,77,86,85,91,89,94,92,95,93,95,94,95,94,96,94,10,9,18,17,34,33,40,40
41,Basler_acA2500-14um__23891378__20221129_144902408_0054.tiff,1544,760,89,27,26,48,48,65,64,76,77,85,84,89,87,91,89,92,90,92,90,89,90,90,89,11,9,18,17,34,33,41,40
42,Basler_acA2500-14um__23891378__20221129_144902408_0055.tiff,1544,761,85,27,26,48,48,64,64,75,77,83,84,88,87,89,88,90,88,90,88,87,87,86,86,10,9,18,17,33,33,40,40
43,Basler_acA2500-14um__23891378__20221129_144902408_0056.tiff,1544,760,80,27,26,48,47,63,64,75,75,82,83,86,84,87,86,88,86,87,86,84,85,81,83,10,9,18,17,33,33,40,40
44,Basler_acA2500-14um__23891378__20221129_144902408_0057.tiff,1544,761,76,27,26,47,48,63,64,74,75,80,81,84,83,84,84,85,84,83,84,79,83,75,81,10,9,18,17,33,33,40,40
45,Basler_acA2500-14um__23891378__20221129_144902408_0058.tiff,1544,761,73,26,26,47,48,62,64,73,74,79,80,83,81,82,83,82,83,79,82,74,80,70,78,10,9,18,17,33,32,40,40
46,Basler_acA2500-14um__23891378__20221129_144902408_0059.tiff,1544,761,71,26,25,47,47,62,64,72,73,78,78,81,79,80,81,80,82,76,81,70,79,68,76,10,8,18,16,33,32,40,39
47,Basler_acA2500-14um__23891378__20221129_144902408_0060.tiff,1544,760,69,26,25,47,47,61,64,71,72,76,76,79,79,78,80,77,80,74,80,69,77,67,75,10,8,17,16,33,32,40,39
48,Basler_acA2500-14um__23891378__20221129_144902408_0061.tiff,1544,760,67,26,26,47,47,61,64,70,71,75,75,77,78,76,78,74,79,71,78,68,76,66,73,10,8,17,16,33,33,39,39
49,Basler_acA2500-14um__23891378__20221129_144902408_0062.tiff,1544,760,67,26,25,47,47,61,63,70,71,74,74,76,77,74,77,72,78,72,77,72,74,66,71,10,8,17,16,33,32,39,39
50,Basler_acA2500-14um__23891378__20221129_144902408_0063.tiff,1544,760,66,26,25,47,47,61,63,69,70,73,73,75,76,72,76,70,77,72,75,72,73,70,70,10,8,18,16,33,32,39,39
51,Basler_acA2500-14um__23891378__20221129_144902408_0064.tiff,1544,761,68,26,25,47,47,61,63,69,69,71,71,74,74,70,76,68,76,71,74,71,72,69,69,10,8,17,16,33,32,39,39
