,file,reference_row,dl_width,dl_height_abs,dl_height_midpoint
77,Basler_acA2500-14um__23891378__20220725_134143131_0399.tiff,611,936,139,138
78,Basler_acA2500-14um__23891378__20220725_134143131_0404.tiff,611,933,139,138
79,Basler_acA2500-14um__23891378__20220725_134143131_0409.tiff,611,934,138,137
80,Basler_acA2500-14um__23891378__20220725_134143131_0414.tiff,611,934,137,136
81,Basler_acA2500-14um__23891378__20220725_134143131_0419.tiff,611,933,136,135
82,Basler_acA2500-14um__23891378__20220725_134143131_0424.tiff,611,932,136,135
83,Basler_acA2500-14um__23891378__20220725_134143131_0429.tiff,611,932,135,134
84,Basler_acA2500-14um__23891378__20220725_134143131_0434.tiff,611,930,134,133
85,Basler_acA2500-14um__23891378__20220725_134143131_0439.tiff,611,931,134,133
86,Basler_acA2500-14um__23891378__20220725_134143131_0444.tiff,611,930,133,132
87,Basler_acA2500-14um__23891378__20220725_134143131_0449.tiff,611,932,132,132
88,Basler_acA2500-14um__23891378__20220725_134143131_0454.tiff,611,932,132,131
89,Basler_acA2500-14um__23891378__20220725_134143131_0459.tiff,611,932,131,130
